amfi_code,date,nav,daily_return,returns,rolling_mean,rolling_std,rolling_sharpe
100016,2022-01-03,520.4608,,,,,
100016,2022-01-04,515.0971,-1.030567527852244,-0.010305675278522441,,,
100016,2022-01-05,521.7239,1.2865147173222402,0.012865147173222402,,,
100016,2022-01-06,515.788,-1.1377473794089044,-0.011377473794089044,,,
100016,2022-01-07,515.1639,-0.1209993253041941,-0.001209993253041941,,,
100016,2022-01-10,510.7136,-0.8638609964712218,-0.008638609964712218,,,
100016,2022-01-11,513.5542,0.5562021453902943,0.005562021453902943,,,
100016,2022-01-12,512.3195,-0.240422529890727,-0.00240422529890727,,,
100016,2022-01-13,510.2445,-0.4050206950935719,-0.00405020695093572,,,
100016,2022-01-14,514.3636,0.807279647306336,0.00807279647306336,,,
100016,2022-01-17,514.7627,0.0775910270477853,0.0007759102704778531,,,
100016,2022-01-18,517.3803,0.5085061524465528,0.005085061524465528,,,
100016,2022-01-19,513.1866,-0.8105642986406814,-0.008105642986406814,,,
100016,2022-01-20,507.1294,-1.180311411092971,-0.011803114110929713,,,
100016,2022-01-21,507.871,0.1462348662885748,0.0014623486628857485,,,
100016,2022-01-24,506.7062,-0.2293495789284949,-0.0022934957892849495,,,
100016,2022-01-25,509.7762,0.6058737785328061,0.006058737785328061,,,
100016,2022-01-26,509.68,-0.0188710261483371,-0.00018871026148337133,,,
100016,2022-01-27,510.8661,0.2327146444828232,0.002327146444828232,,,
100016,2022-01-28,503.8641,-1.3706135521617149,-0.013706135521617147,,,
100016,2022-01-31,512.5903,1.7318558714542132,0.01731855871454213,,,
100016,2022-02-01,512.1124,-0.0932323534019174,-0.0009323235340191749,,,
100016,2022-02-02,515.5386,0.6690328138900803,0.006690328138900803,,,
100016,2022-02-03,512.0153,-0.6834211832052794,-0.0068342118320527945,,,
100016,2022-02-04,513.6729,0.3237403257285498,0.0032374032572854983,,,
100016,2022-02-07,508.0666,-1.091414400097812,-0.010914144000978121,,,
100016,2022-02-08,510.3595,0.4512991013382983,0.004512991013382983,,,
100016,2022-02-09,509.0223,-0.2620113860915762,-0.0026201138609157626,,,
100016,2022-02-10,509.4161,0.0773639976087592,0.0007736399760875923,,,
100016,2022-02-11,512.826,0.6693742109839196,0.006693742109839196,,,
100016,2022-02-14,507.5435,-1.0300764781816851,-0.010300764781816851,,,
100016,2022-02-15,504.7492,-0.5505537948964023,-0.005505537948964023,,,
100016,2022-02-16,507.0506,0.4559492120046915,0.004559492120046915,,,
100016,2022-02-17,516.7872,1.9202422795673744,0.019202422795673746,,,
100016,2022-02-18,516.4246,-0.0701642765145726,-0.0007016427651457269,,,
100016,2022-02-21,519.3918,0.5745659676165582,0.005745659676165582,,,
